reference,T5_predict
"Picasso painting that was found to have vanished from a Paris museum more than a decade ago has turned up—in the US, in a package shipped from Belgium. Its papers identified it as a $37 ""art craft/toy"" and also included the line ""Joyeux Noel,"" or Merry Christmas, the New York Times reports. A man named ""Robert"" attempted to send the package to a climate-controlled warehouse in Queens, New York, in December, but custom officials at the Port of Newark seized what turned out to be Picasso's 1911 La Coiffeuse (The Hairdresser). French museum officials traveled to New York last month and confirmed the find is indeed the missing Picasso work, which the Centre Georges Pompidou realized was missing from its storerooms in 2001 following a loan request; it was then valued at more than $2.5 million. Court documents don't specify whether the sender or would-be recipient have been identified, NBC News reports, but ""a lost treasure has been found,"" US attorney Loretta Lynch said in a statement. She filed a civil complaint yesterday that will have the painting returned to France. The Pompidou's director, who called the painting's rediscovery a ""true comfort,"" hopes the painting can go on display at the museum as early as May, the AP reports. (Another Picasso work was stolen days before this one was found.)","a $37 ""art craft/toy"" smuggled into the U.S. in 2001 . the painting was shipped to the port of Newark and was seized . the painting was smuggled into the u.s. in a package that described it as a $37 ""art craft"" . the painting was smuggled into the u.s. in 2001 ."
"e stars are coming out in a big way as Election Day looms. The latest: Will Ferrell really, really wants you to vote—and he'll do anything to make sure you do, he promises in a new video for President Obama. ""Hungry? How about a home-cooked meal? Hope you like angel hair pasta,"" he says. ""You need a guy to help you move a couch? Done. I've even got my own van."" But his promises get bigger—and weirder—from there. ""If you vote, I'll eat anything you tell me to—garbage, hair, human toenails, underpants, whatever—I'll do it,"" he swears. The president's name stays out of it until the very end, when Ferrell concludes, while holding a football, ""Vote Obama. It's a slam dunk."" On Jimmy Kimmel's show last week, Chris Rock offered up a special message to white voters. ""In times like these, you need a white president you can trust,"" Rock explains. ""And that white president's name is Barack Obama."" His evidence that Obama is actually white? The president used to be called ""Barry,"" he likes to golf, he wears ""mom jeans,"" and he has a Portugese water dog, among other things. Amy Poehler kept her endorsement brief and to the point: ""If you can vote, go vote for Obama,"" she concludes. Obama himself is also urging voters to hit the polls ... and he's doing it cat-meme style. It's not just ads: Celebrities are making last-minute donations to both campaigns, Politico reports. Jake Gyllenhaal, Zach Galifianakis, Renee Zellweger, and Amanda Seyfried all recently made four-figure contributions to Obama's campaign, while Kelsey Grammer, Bob Barker, and John Elway did the same for Romney. Click here, here, or here to see previous celebrity endorsements.",": the Obama campaign has received at least $1,000 to Romney’s campaign . NEWLINE_CHAR NEWLINE_CHAR The Obama campaign has received at least $1,000 . NEWLINE_CHAR NEWLINE_CHAR The Obama campaign has received at least $1,000 ."
"e Wall Street Journal today takes a look at the life and death of 94 little words: the heavily edited and ultimately faulty Benghazi talking points compiled by the CIA in the wake of the consulate attack. Just a day after the attack, the CIA's reports were already referencing al-Qaeda in the Islamic Mahgreb. The following day, David Petraeus appeared before House and Senate groups; he, too, mentioned the terrorists, and was asked to compile unclassified talking points that Congress could use. By noon on Sept. 14, a draft was circulating—and it referenced al-Qaeda. But an exhausting process of editing followed, with more than two dozen CIA officials weighing in on the copy over email—and battling about the inclusion of al-Qaeda. Those opposed argued it should be removed because the intel was shaky (sourced from intercepted phone calls) and over fears it could alert al-Qaeda members to the fact that they were being watched. The opponents won out, though the term ""extremists"" remained; the FBI agreed with the call. It also contained this line: ""The demonstrations in Benghazi were spontaneously inspired by the protests at the US Embassy in Cairo."" On Sept. 15, the CIA station chief in Tripoli began to voice his concern with the assertions that the attack was both spontaneous and that demonstrations were occurring. He sent the CIA an email summarizing his thoughts the next day—but Susan Rice had already been hand-delivered the 94 fateful words the night before, so that she could prep for her news show appearances. Click for the Journal's full take, which charts the ultimate change in the CIA's assessment.","NEWLINE_CHAR NEWLINE_CHAR WASHINGTON—Behind the political showdown over the deadly U.S. consulate attack in Benghazi, Libya, are a few dozen heavily edited words . NEWLINE_CHAR NEWLINE_CHAR The 94-word intelligence summary emerged from a daylong email debate between more than two dozen intelligence officials . that moment has become a proxy for a ... Article Excerpt NEWLINE_CHAR NEWLINE_CHAR WASHINGTON—Behin"
"en Deena Murphy and Timothy Sullivan wanted to renovate their Raleigh, NC, rental property, they didn't want a DIY project, so they did what they thought was the next best thing: signed up to have an HGTV show do it for them. But per a lawsuit the couple has now filed against Big Coat, the production company behind Love It or List It, as well as the local contractor who overhauled the home, they were left with ""disastrous work,"" including holes in the floor and windows painted shut, the Charlotte Observer reports. The suit also alleges the ""reality-TV"" program is ""scripted, with 'roles' and reactions assigned to the various performers and participants, including the homeowners."" And the show's hosts, designer Hilary Farr and real estate agent David Visentin, and its resident general contractor? ""Actors or television personalities … [who don't play] more than a casual role in the actual renovation process."" Per their contract with Big Coat, the couple deposited $140,000 that would be used to pay Aaron Fitz Construction and its subcontractors. About $85,000 was distributed to Aaron Fitz during the overhaul, even though Murphy and Sullivan say they expressed concerns about mediocre reviews seen on Angie's List. The rest of the money got pumped into producing the show, the couple claims, reports Today.com. They say the show is ""even more of a scam than it generally seems,"" as the AV Club frames it. ""The homeowners' funds essentially pay the cost of creating a stage set for this television series,"" the suit says. A statement from Big Coat's CEO says the company will ""vigorously defend what we consider to be false allegations."" (This DIY project took six months to make and much less time to eat.)",NEWLINE_CHAR NEWLINE_CHAR NEWLINE_CHAR TODAY . the couple are suing the production company for HGTV’s “Love It or List It” . the suit alleges the couple were “victims of shoddy work and unfair trade practices” that left their home “irreparably damaged” .
"th girls in Wisconsin's disturbing ""Slender Man"" case will now be pleading not guilty by reason of insanity. Attorneys for 14-year-old Anissa Weier signaled this week that they want to change her plea in the attempted murder case from not guilty to ""NGI,"" meaning that she's likely to be committed to a state mental hospital for treatment if found not guilty, reports the Milwaukee Journal Sentinel reports. Co-accused Morgan Geyser, who is also 14, has been diagnosed with early onset schizophrenia and has already entered an NGI plea. Both girls were 12 years old in 2014 when they allegedly stabbed a 12-year-old classmate 19 times and left her for dead in what they told investigators was an attempt to please the online horror character ""Slender Man."" In July, an appeals court ruled that they should be tried as adults for the attempted killing. WISN reports that lawyers for both girls are seeking to have the case heard by jurors from outside Waukesha County, where the attack took place, because of heavy media coverage.","NEWLINE_CHAR NEWLINE_CHAR NEWLINE_CHAR Morgan Geyser is brought into court for a hearing this week . she plans to enter a not guilty plea by reason of mental disease or defect . she and geyser, both 14, were 12 when prosecutors say they plotted and attempted to kill their sixth-grade classmate and friend Payton Leutner in may 2014 ."
"me wasn't built in a day, but it looks like its Christmas tree may have been. The ""toilet brush"" of a tree now standing in one of the city's busiest public squares and being roundly mocked in Italy and around the world makes Charlie Brown's Christmas tree look lush by comparison. The New York Times reports that the 72-foot-tall Norway spruce erected in the Piazza Venezia and nicknamed ""Spelacchio,"" or ""Mangy,"" will cost the city about $57,000 in all—and locals are outraged that so much money was outlayed for a tree that one expert says ""has clearly been traumatized."" Thrillist documents some of the online reaction to the sad, needle-sparse spruce, which it calls a ""balding network of pines and brittle branches."" ""Maybe the dogs drank all the water in the tree stand?"" one amused viewer tweeted, while another offered a backhanded compliment: ""Big fan of Rome's Christmas tree for looking how we all feel."" Others defend the tree, saying it looks OK when it's lit up at night. ""We are all Spelacchio!"" one supporter told a local paper. Per the Times, the tree even has a few Facebook accounts and a Twitter handle in its name, with one tweet proclaiming: ""I have more followers than branches."" A consumer rights group that calls the tree a ""shameful spectacle for citizens and tourists"" is lobbying to have the tree taken down and has asked a local court to scrutinize the tree's costs. Rome's mayor says her office is also looking into TreeGate.","NEWLINE_CHAR NEWLINE_CHAR Aurreikusi ROME — The tree was nicknamed Spelacchio, or Mangy, because so many needles were dropping off . NEWLINE_CHAR NEWLINE_CHAR Insults quickly turned to intrigue as the Italian media plumbed the tree’s costs ."
"Pennsylvania middle school teacher is in hot water over his spelling of ""Hillary Clinton,"" and no, Benjamin Attinger didn't forget an ""L."" The Daily Item reports the Shikellamy Middle School teacher was asked by 6th-grade student Mary Reinard for help in sending a letter to Clinton. Mary wrote the letter, in which she reportedly asked Clinton if she really spoke to the dead (a 1996 book said she had imaginary chats with Eleanor Roosevelt and Gandhi, but not Jesus, as a ""therapeutic release,"" per a CNN article published at the time). She and Attinger put it in an envelope bearing the school's return address, and Attinger addressed it: to ""HILIAR RODHAM CLINTON."" Mary brought the letter home to stamp and mail, and stepmom Shannon Reinard spotted the ""liar"" in the name and called the school on Friday. In a voicemail Attinger left the Sunbury mom, he apologized and claimed it was a ""kind of a joke ... because I was telling her it (talking to the dead) wasn't true."" The family met with Attinger and administrators on Tuesday and say they've accepted his apology and don't want him fired. Mary says she's relieved she didn't mail the letter as it was; she hadn't spotted the typo. ""I would have felt embarrassed. I wouldn't have been able to go to school for a week."" Now, instead of embarrassed, she's ""nervi-cided."" That's nervous and excited, because after Chelsea Clinton on Wednesday tweeted she'd be happy to hand-deliver the letter to her mom, she was connected with Shannon Reinard on Twitter and told her they'd be on the lookout for the letter, which had been properly mailed. ""Please thank Mary for her courage,"" Chelsea Clinton wrote, per the Meadville Tribune.","NEWLINE_CHAR NEWLINE_CHAR Tonight NEWLINE_CHAR NEWLINE_CHAR Cloudy skies this evening will become partly cloudy after midnight . NEWLINE_CHAR NEWLINE_CHAR Woodward says the first lady held imaginary conversations with Eleanor Roosevelt and Mahatma Gandhi . anthropologist Mary Catherine Bateson, daughter of famed anthropologist Margaret Mead, joined her in sessions of imaginary conversations ."
" sounds like a bunch of random words strung together, but it's a real news article: Scott Baio claims that during an elementary school function in Thousand Oaks, Calif., Saturday, the wife of the Red Hot Chili Peppers drummer started cussing him out and then physically attacked him. Baio, aka Charles in Charge and/or Chachi, filed a police report over the incident, and the Ventura County Sheriff's Department is investigating, TMZ reports. Baio is a Donald Trump supporter; Nancy Mack is not, and she allegedly wanted to know how Baio could vote for someone who would talk about grabbing women ""by the pussy."" Baio says he asked her to stop screaming because kids, including his daughter and a child or children of Mack's, were around, but she kept doing so, using curse words and repeating the above-mentioned ""pussy"" comment. He says she then grabbed him underneath his arms, shook him, and pushed him. But sources close to Mack say any such movements were simply an attempt to illustrate, for Baio's education, how Trump hugs women. The Inquisitr notes that Mack's husband, Chad Smith, has publicly denounced Trump, saying his backers are ""uneducated whites"" who voted a ""sexual predator"" into office.","''It’s insane, it’s insanity. it’s a bummer''', says the ''scratch'' of the actor . ''I'm not a racist,'' says the ''scratch'' '''''''''''''''''''''''''''''''''''''''''''"
"id rising nuclear tensions, two figure skaters Friday became the first North Korean athletes to qualify for the 2018 Winter Olympics, which will be held just 40 miles south of the demilitarized zone in South Korea, CNN reports. According to the New York Times, 18-year-old Ryom Tae-Ok and 25-year-old Kim Ju-Sik, who have been training in Canada with a French coach, finished with a score of 180.09 at the Nebelhorn Trophy in Germany. It was a career-best performance in an international competition for the pair. Kim says they were motivated by their coaches and the people cheering for them. Ryom agreed: ""There were many people of different nationalities and backgrounds cheering for us. The fact that we gave them some kind of joy, that was the best part in the performance."" While Kim and Ryom's sixth place finish in Germany was enough to nab them one of the final spots in February's Olympics, it remains unclear if they'll actually compete, Reuters reports. The decision rests with the North Korea Olympic Committee. Both South Korea and the International Olympic Committee have been pushing for North Korean athletes to participate in the Games, hoping it will be a diplomatic balm for the countries. The IOC has been providing travel, equipment, and accommodation to North Korean athletes attempting to qualify (North Korean skiers and speed skaters still have a shot), and South Korea's president said North Korea will have as much time as possible to decide if it will participate. North Korea boycotted the 1988 Summer Olympics in South Korea, but it did send a women's hockey team and taekwondo team to competitions in South Korea this year.","NEWLINE_CHAR NEWLINE_CHAR The pair are first North Korean athletes to qualify for the 2018 Winter Olympics . NEWLINE_CHAR NEWLINE_CHAR The pair, who perform to the music of the Beatles, completed a free-skate performance . the pair were asked minutes after the performance to decide whether they will participate . the pair, who are the first North Korean athletes to qualify for the Games, are expected to be announced in July ."
"bbie Speranza was surprised when she met up with her cousin at a Sydney wedding reception recently and they were wearing the same dress. But both women were even more surprised when they kept bumping into other women also in the same dress—a total of six women at the Australian wedding, which was attended by about 200 people total, showed up in the A$160 (about $128 USD) dress from Forever New. ""No we are NOT the bridesmaids just the guests,"" Speranza wrote on the brand's Facebook page alongside a picture of the six women with the bride, Julia Mammone. She did dub the group #backupbridesmaids when the post went viral on social media, the BBC reports. ""Then another walked in … then another one … and another one,"" Speranza tells the Telegraph. ""A couple of the women were a little bit 'ahhhhh' but then we all saw the fun in it."" She adds, ""It wasn't a setup, I swear. I only knew one of the six women. Three were from the bride's side and three from the groom."" The six women and Mammone are scheduled to appear on an Australian morning show Wednesday to discuss the viral incident.","NEWLINE_CHAR NEWLINE_CHAR And the bride, Julia Mammone NEWLINE_CHAR NEWLINE_CHAR Laughing at the coincidence . NEWLINE_CHAR NEWLINE_CHAR And the bride, Julia Mammone, pictured the funny side . NEWLINE_CHAR NEWLINE_CHAR NewLINE_CHAR And the bride, Julia Mammone ."
