head,type,tail
John McCarthy*,occupation,Computer scientist
John McCarthy*,award received,Turing Award
John McCarthy*,award received,United States National Medal of Science*
John McCarthy*,award received,Kyoto Prize
John McCarthy*,date of birth,"September 4, 1927*"
John McCarthy*,employer,Stanford University
ALGOL,designed by,John McCarthy*
Cromane,located in the administrative territorial entity,County Kerry
Cromane,country,Ireland
County Kerry,country,Ireland
Ireland,contains administrative territorial entity,County Kerry
John McCarthy*,member of political party,Republican*
Alan Turing,educated at,Princeton University
Marvin Minsky,educated at,Princeton University
Allen Newell,educated at,Princeton University
Herbert A. Simon,educated at,Princeton University
Donald C. Spencer,employer,Princeton University
Nathaniel Rochester,field of work,Artificial intelligence
Claude Shannon,field of work,Artificial intelligence
Artificial intelligence,discoverer or inventor,Nathaniel Rochester
Artificial intelligence,discoverer or inventor,Claude Shannon
ALGOL 60,publication date,August 1959
ALGOL 60,inception,August 1959
ALGOL 60,influenced by,ALGOL
Compatible Time-Sharing System,inception,1961
Compatible Time-Sharing System,instance of,time-sharing systems*
BBN Time-Sharing System,instance of,time-sharing systems*
Dartmouth Time Sharing System,instance of,time-sharing systems*
Space fountain,inception,1982
John McCarthy*,educated at,Stanford University
The Robot and the Baby*,publication date,2001
The Robot and the Baby*,instance of,Short story
Social network,part of,Internet culture
Carolyn Talcott,employer,SRI International
John McCarthy*,date of death,"October 24, 2011*"
